PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7991,3100,2423,1014,3830,648,730,860,1185,816,,,16159,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,110,120,,,,,1300,
"HELLENIC POLICE
FACILITIES",P.D.C.,83,210,,,,,,,129,500,,,212,710
,DETENTION FACILITIES,1,40,3,18,13,24,5,6,1,36,36,63,59,187
U.N.H.C.R.,,573,677,234,250,209,236,82,116,144,189,60,105,1302,1573
N.C.S.S.,,145,158,13,18,11,12,,,,,,,169,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,10083,,2673,,4063,,927,,1459,,111,,19316,
ARRIVALS,,0,,42,,0,,0,,0,,0,,42,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
