,Fund,Coordinator,Activity,Amount allocated,Amount Paid,Type
0,AMIF,Asylum Service - Ministry of Interior and Administrative Reform,"Support the operation of the Greek Asylum Service, especially the provision of mobile asylum units on 4 border islands",1181447.89,743911.81,Migration management
1,AMIF,Asylum Service - Ministry of Migration Policy,Ensuring and enhancing access to a fair and efficient Asylum Process in Greece,7250527.92,5800422.34,Migration management
2,AMIF,EASO,Strengthening the Common European Asylum System: creating safe pathways to the European Union for persons in need of international protection,24938683.8,8046485.77,Migration management
3,AMIF,General Secretary for Co-ordination - Hellenic Republic,"Transportation, Accommodation, Alimentation of TCNs in need of international protection and/or potential asylum seekers to mainland",5989345,5989345,Living Assistance
4,AMIF,IOM,Relocation programme from Greece to other EU Member States for beneficiaries in clear need of international protection,20000000,8000000,Assitance to Vulnurable Groups / Education
5,AMIF,IOM,Assisted voluntary return of third country nationals to their country of origin,1500214.33,1114301.87,Migration management
6,AMIF,IOM,Emergency support to assist most vulnerable migrants stranded in Greece,13000000,10400000,Assitance to Vulnurable Groups / Education
7,AMIF,IOM,Open Centre for Migrants Registered for Assisted Voluntary Return (OCAVRR II),2306062.44,798973.28,Migration management
8,AMIF,IOM,Emergency response in accommodating unaccompanied migrant children - ERACUMIC,6000000,4800000,Assitance to Vulnurable Groups / Education
9,AMIF,IOM,Emergency measures to enhance accommodation capacity and Site Management Support in the sites of Greece,6434124,,Infrastructure support
10,AMIF,IOM,PEDIA – Providing Education and Immediate Accommodation to Migrant Children in Greece,22785980.65,,Assitance to Vulnurable Groups / Education
11,AMIF,"Ministry for Infrastructure, Transport and Networks - General Secretariat for Infrastructure",Provision of 1150 prefabricated shelter houses for the hosting of TCNs,12765000,10212000,Infrastructure support
12,AMIF,Ministry of Defence,"I.R.R.M.Cr--Immediate Response to the Refugee-Migrant Crisis by providing them sheltering and accommodation, catering, health care and transportation",7000000,3500000,Living Assistance
13,AMIF,Ministry of Defence,"IRRMCr - Immediate Response to the Refugee - Migrant Crisis by providing them sheltering and accommodation, catering, health care and transportation on the mainland",25688566,,Living Assistance
14,AMIF,Ministry of Defence - General Directorate of Financial Planning and Support (GDFPS),"Immediate enhancement of the response to the refugee - migrant crisis by providing them sheltering and accommodation, catering, health care, transportation at open accommodation, ensuring by this way health and safe living conditions for the target group",23898120,23783189.53,Living Assistance
15,AMIF,Ministry of Defence - General Directorate of Financial Planning and Support (GDFPS),"Immediate enhancement of the response to the refugee - migrant crisis by providing them sheltering and accommodation, catering, health care, transportation at open accommodation centres, ensuring by this way health and safe living conditions for the target group",52200000,47492179.02,Living Assistance
16,AMIF,Ministry of Health - (and HCDCP),Comprehensive Emergency Health Response to Refugee Crisis,24152372.63,19344742.4,Living Assistance
17,AMIF,Ministry of Interior and Administrative Reconstruction - Hellenic Police Headquarters,Return of third countries nationals to their country of origin (5 Sub-Actions),2538931.63,1596582.5,Migration management
18,AMIF,Ministry of Interior and Administrative Reform - Asylum Service,"Ensuring a fair and efficient Asylum Process, including in the context of the implementation of the EU-Turkey agreement",2112309.47,1689847.57,Migration management
19,AMIF,UNHCR,Supporting UNHCR Greece Emergency Response Plan and strengthening the capacity of the asylum service,30000000,24000000,Migration management
20,AMIF,UNHCR,Support to Greece for the development of the hotspot/relocation scheme as well as for developing asylum reception capacity,75000000,74472716.86,Migration management
21,AMIF,UNHCR,Support to management of Kara Tepe (Lesvos) and Souda (Chios) sites,6463171.45,5170537.16,Migration management
22,AMIF,UNHCR,Continuation of targeted support to guarantee a smooth transition from emergency mode to stable management of the refugee and migrant situation and provision of services let by the Greek Government,9220069.05,7376055.24,Migration management
23,AMIF,UNHCR,Continuation of support to site management of Kara Tepe (Lesvos) and targeted support to protection activities in support to the Greek Government,20000000,16000000,Migration management
24,ISF-BV,EASO,EASO emergency support for the Greek Hotspots to strengthen their fingerprinting capacity,1120258.4,1109707.12,Migration management
25,ISF-BV,First Reception Service - Ministry of Interior and Administrative Reconstruction,Emergency support enhancing the operational capacity of the Greek authorities and CSOs to manage the extreme rise in refugee and illegal migrants' flows into Greek national and European territory,4034445.31,3227556.25,Migration management
26,ISF-BV,First Reception Service - Ministry of Interior and Administrative Reconstruction,Administrative reinforcement of First Reception Service,386520,315381.02,Migration management
27,ISF-BV,First Reception Service - Ministry of Interior and Administrative Reconstruction,Enhancement of human resources in First Reception Centres,3244097.8,2595278.24,Migration management
28,ISF-BV,Hellenic Centre for Disease Control and Prevention HCDCP - Ministry of Public Health,Immediate enhancement of the response to the public health challenge presented by the refugee/migrant emergency on the front line of first reception in the Eastern Aegean Sea,3270529.9,3178672.45,Living Assistance
29,ISF-BV,"Hellenic Coast Guard - Ministry of Economy, Infrastructure, Maritime Affairs & Tourism",Emergency assistance covering staff related costs in order to ensure a high level domain awareness of the severely affected Eastern Aegean EU external borders and to minimize the losses of human lives at sea,2220000,1776000,Migration management
30,ISF-BV,"Hellenic Coast Guard - Ministry of Economy, Infrastructure, Maritime Affairs & Tourism",Emergency assistance for the procurement of Search & Rescue Equipment to avert losses of migrants’ life at sea,486000,388800,Migration management
31,ISF-BV,Hellenic Coast Guard - Ministry of Maritime Affairs & Insular Policy,Emergency assistance covering unexpected maintenance and repair costs related to the intense use of HCG maritime assets as well as Search & Rescue and medical Equipment in view of ensuring a high level domain awareness of the severely affected Eastern Aegean EU external borders and to minimize the losses of human lives at sea,2895328.35,2316262.68,Migration management
32,ISF-BV,Hellenic Coast Guard - Ministry of Maritime Affairs & Insular Policy,Emergency assistance covering the deployment of additional staff members and Special Forces to the severely affected Eastern Aegean HCG Authorities in order to improve the management of the intense migratory flows.,1101000,880800,Migration management
33,ISF-BV,Hellenic Police - Ministry of Interior and Administrative Reconstruction- European Development Programs Division,Reinforcement of the Eastern Aegean Police Agencies,2355707.28,2154961.24,Migration management
34,ISF-BV,Ministry of Defence,"IRRMCr - Fylakio - Immediate Response to the Refugee - Migrant Crisis by providing them sheltering and accommodation, catering, health care and transportation on the mainland",2254000,,Living Assistance
35,ISF-BV,Ministry of Defence - General Directorate of Financial Planning and Support (GDFPS),"Immediate enhancement of the response to the refugee - migrant crisis by providing them sheltering and accommodation, catering, health care, transportation at hot spots, ensuring by this way health and safe living conditions for the target group",6596470,4493505.81,Living Assistance
36,ISF-BV,Ministry of Defence - General Directorate of Financial Planning and Support (GDFPS),"Immediate enhancement of the response to the refugee - migrant crisis by providing them sheltering and accommodation, catering, health care, transportation at hot spots, ensuring by this way health and safe living conditions for the target group",10066414,9221183.66,Living Assistance
37,ISF-BV,Ministry of Interior,Provision of security services for RICs in the Eastern Aegean islands,7100000,5680000,Living Assistance
38,ISF-BV,Ministry of Interior and Administrative Reconstruction - European Development Programs Division,Upgrading the existing IT-system of the Hellenic Police for the registration process of TCNs,3063130.08,2450504.06,Migration management
39,ISF-BV,Ministry of Interior and Administrative Reconstruction - European Development Programs Division,Provisional services to TCNs and operational support to the Hellenic Police services at the external borders,7000000,5600000,Migration management
40,ISF-BV,Ministry of Interior and Administrative Reconstruction - First Reception Service,"Emergency assistance in support of the organisation, provision of legal information and interpretation for the effective management of immigration flows in the Eastern External Borders",693997,613458.45,Migration management
41,ISF-BV,Ministry of Interior and Administrative Reconstruction - Reception and identification Service,Emergency assistance for the effective management of immigration flows in the Greek territory,7278995.18,5823196.14,Migration management
