"Award
Decision taken","EU
contribution",Title of the action,Responsible Entity
31/07/2018,€25.68m,"Immediate Response to the Refugee - Migrant Crisis by providing them sheltering
and accommodation, catering, health care and transportation on the mainland",Ministry of Defence
31/07/2018,€3.17m,"Provisional services to the TCNs and operational support to the Reception and
Identification Centre (RIC) in the Evros region at the external borders","Ministry of
Migration"
31/07/2018,€2.25m,"Fylakio - Immediate Response to the Refugee - Migrant Crisis by providing
them sheltering and accommodation, catering, health care and transportation
on the mainland",Ministry of Defence
07/06/2018,€7.1m,Provision of security services for RICs in Eastern Aegean islands,Ministry of Interior
22/12/2017,€7m,"Immediate response to the refugee-migrant crisis by providing shelter,
accommodation, catering and transportation in the mainland and in the
EasterAegean Islands.",Ministry of Defence
30/11/2017,€7.25m,Ensuring and enhancing access to a fair and efficient Asylum Process in Greece,"Ministry of
Migration Policy"
27/07/2016,€0.44m,Construction works of the sewer system and water supply network in Samos,"Ministry of Interior
and Administrative
Reform"
27/07/2016,€7.2m,"Emergency assistance for the effective management of immigration flows in
the Greek territory","Ministry of Interior
and Administrative
Reform"
19/07/2016,€10.1m,"Immediate enhancement of the response to the refugee crisis by providing
shelter and accommodation, catering, health care, transportation at hotspots,
ensuring this way healthy and safe living conditions for the target group
(continuation of the project awarded in March)",Ministry of Defence
19/07/2016,€52.2m,"Immediate enhancement of the response to the refugee crisis by providing shelter
and accommodation, catering, health care, transportation at open accommodation
centres, ensuring this way healthy and safe living conditions for the target group
(continuation of the project awarded in March)",Ministry of Defence
19/07/2016,€24.18m,Comprehensive emergency heath response to refugee crisis,Ministry of Health
17/05/2016,€2.1m,"Ensuring a fair and efficient Asylum Process, including in the context of the
implementation of the EU-Turkey agreement","Ministry of Interior
and Administrative
Reform"
17/05/2016,€3.06m,"Upgrading the existing IT-system of the Hellenic Police for the registration
process of third-country nationals","Ministry of Interior
and Administrative
Reform"
17/05/2016,€7m,"Provisional services to third-country nationals and operational support to the
Hellenic Police services at the external borders","Ministry of Interior
and Administrative
Reform"
18/03/2016,€6.6m,"Immediate enhancement of the response to the refugee crisis by providing shelter
and accommodation, catering, health care, transportation at hotspots, ensuring this
way healthy and safe living conditions for the target group",Ministry of Defence
18/03/2016,€23.9m,"Immediate enhancement of the response to the refugee crisis by providing
shelter and accommodation, catering, health care, transportation at open
accomodation centres, ensuring this way healthy and safe living conditions
for the target group",Ministry of Defence
03/03/2016,€3.24m,Enhancement of human resources in First Reception Centres,"First Reception
Service"
08/02/2016,€12.76m,"Provision of prefabricated shelter houses for the hosting of third country
nationals","Ministry of
Infrastructure,
Transport and Networks"
08/12/2015,€3.27m,"Immediate enhancement of the response to the public health challenge
presented by the refugee/migrant emergency on the front line of first
reception in the Eastern Aegean Sea","Ministry of Public
Health"
05/11/2015,€0.68m,Reinforcement of the Orestiada Police Directorate with police personnel,Hellenic Police
05/11/2015,€2.54m,Return of third countries nationals to their country of origin,Hellenic Police
